Occupancy Model;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Transition Probability Matrix;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
One resident house;;;;;;;;;;;;;;;
Weekday;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ten minute period number;Combined State  @t;Combined State  @t+1;;;;;;;;;;;;;
;;00;01;10;11;;;;;;;;;;
96;01;0.010101;0.88664;0.0022447;0.10101;;;;;;;;;;
96;10;0.013333;0.013333;0.50667;0.46667;;;;;;;;;;
96;11;0;0.067511;0.030942;0.90155;;;;;;;;;;
97;00;0.92593;0.074074;0;0;;;;;;;;;;
97;01;0.0035545;0.94787;0.0011848;0.047393;;;;;;;;;;
97;10;0;0.016129;0.80645;0.17742;;;;;;;;;;
97;11;0;0.020806;0.010403;0.96879;;;;;;;;;;
98;00;0.85714;0.071429;0;0.071429;;;;;;;;;;
98;01;0.001221;0.95849;0;0.040293;;;;;;;;;;
98;10;0;0;0.91525;0.084746;;;;;;;;;;
98;11;0;0.017588;0.0037688;0.97864;;;;;;;;;;
99;00;0.84;0.08;0.04;0.04;;;;;;;;;;
99;01;0;0.96005;0.0012484;0.038702;;;;;;;;;;
99;10;0;0.017544;0.84211;0.14035;;;;;;;;;;
99;11;0;0.02442;0.008547;0.96703;;;;;;;;;;
100;00;0.7619;0.19048;0;0.047619;;;;;;;;;;
100;01;0;0.93308;0;0.066919;;;;;;;;;;
100;10;0;0;0.78947;0.21053;;;;;;;;;;
100;11;0.0012019;0.020433;0.0096154;0.96875;;;;;;;;;;
101;00;0.94118;0.058824;0;0;;;;;;;;;;
101;01;0.0013158;0.94211;0;0.056579;;;;;;;;;;
101;10;0;0;0.83019;0.16981;;;;;;;;;;
101;11;0;0.024083;0.0080275;0.96789;;;;;;;;;;
102;00;0.76471;0.11765;0;0.11765;;;;;;;;;;
102;01;0.001355;0.92276;0.004065;0.071816;;;;;;;;;;
102;10;0;0.019608;0.64706;0.33333;;;;;;;;;;
102;11;0;0.029018;0.0078125;0.96317;;;;;;;;;;
103;00;0.78571;0.071429;0;0.14286;;;;;;;;;;
103;01;0;0.93944;0;0.060563;;;;;;;;;;
103;10;0;0;0.86047;0.13953;;;;;;;;;;
103;11;0;0.014973;0.0074866;0.97754;;;;;;;;;;
104;00;0.90909;0;0;0.090909;;;;;;;;;;
104;01;0.0029326;0.93988;0.0043988;0.052786;;;;;;;;;;
104;10;0;0;0.81818;0.18182;;;;;;;;;;
104;11;0;0.020725;0.0051813;0.97409;;;;;;;;;;
105;00;0.75;0.16667;0;0.083333;;;;;;;;;;
105;01;0.0015129;0.91074;0.0015129;0.086233;;;;;;;;;;
105;10;0;0;0.75;0.25;;;;;;;;;;
105;11;0;0.024365;0.010152;0.96548;;;;;;;;;;
106;00;0.8;0.2;0;0;;;;;;;;;;
106;01;0;0.92994;0;0.070064;;;;;;;;;;
106;10;0;0;0.77273;0.22727;;;;;;;;;;
106;11;0;0.016667;0.0088235;0.97451;;;;;;;;;;
107;00;1;0;0;0;;;;;;;;;;
107;01;0.0049751;0.90713;0;0.087894;;;;;;;;;;
107;10;0;0.023256;0.69767;0.27907;;;;;;;;;;
107;11;0;0.015267;0.0057252;0.97901;;;;;;;;;;
108;00;0.72727;0.18182;0;0.090909;;;;;;;;;;
108;01;0.001773;0.86879;0;0.12943;;;;;;;;;;
108;10;0;0.027778;0.69444;0.27778;;;;;;;;;;
108;11;0;0.028414;0.0082493;0.96334;;;;;;;;;;
109;00;0.77778;0.11111;0;0.11111;;;;;;;;;;
109;01;0;0.91221;0.0038168;0.083969;;;;;;;;;;
109;10;0;0;0.82353;0.17647;;;;;;;;;;
109;11;0;0.017621;0.010573;0.97181;;;;;;;;;;
110;00;0.71429;0.14286;0;0.14286;;;;;;;;;;
110;01;0.002004;0.92786;0;0.07014;;;;;;;;;;
110;10;0;0.02381;0.78571;0.19048;;;;;;;;;;
