,Avg T,Min T,Climate Zone,PLZ,Place,Lat,Lng
284,10.2,-12,12,79539,Lörrach,47.6215172,7.662926499999998
285,8.8,-12,7,65391,"Lorch, Rheingau",50.0740027,7.828990400000001
286,9.5,-16,4,3222,Lübbenau/Spreewald,51.85667549999999,13.9048905
287,8.4,-10,2,23552,Lübeck,53.86764609999999,10.6891338
288,9.5,-14,4,14943,Luckenwalde,52.0818855,13.177060999999998
289,6.8,-12,6,58507,Lüdenscheid,51.2274763,7.6351109
290,10.2,-12,12,71634,"Ludwigsburg, Württ.",48.9116686,9.1718178
291,9.5,-14,4,14974,Ludwigsfelde,52.278082500000004,13.2569144
292,10.2,-12,12,67059,Ludwigshafen am Rhein,49.4788189,8.425831599999999
293,8.5,-12,3,21335,Lüneburg,53.213007700000006,10.3924227
294,8.1,-12,5,44532,Lünen,51.6003281,7.530896500000001
295,10.2,-12,12,55116,Mainz,49.999041600000005,8.2746564
296,9.5,-14,4,39104,Magdeburg,52.1146346,11.6326339
297,10.2,-12,12,68159,Mannheim,49.49200020000001,8.455677999999999
298,8.8,-12,7,35037,"Marburg, Lahn",50.803791499999996,8.756556999999999
299,9.5,-14,4,4416,Markkleeberg,51.270034700000004,12.3804126
300,8.1,-10,5,45768,Marl,51.6558581,7.064579400000001
301,7.9,-14,9,8393,Meerane,50.855872600000005,12.4852348
302,7.9,-12,13,88709,"Meersburg, Bodensee",47.6762495,9.2653802
303,7.9,-16,13,98617,Meiningen,50.530613,10.3539589
304,9.5,-14,4,1662,Meißen,51.16329520000001,13.4751521
305,7.9,-16,13,87700,Memmingen,47.977358100000004,10.176349499999999
306,6.8,-12,6,58706,"Menden, Sauerland",51.4300527,7.7896015999999975
307,10.2,-14,12,79227,"Mengen, Baden",47.9570089,7.7601447
308,6.8,-16,6,71263,Merklingen Kr. Leonberg (Weil der Stadt),48.7515726,8.8544372
309,9.5,-14,4,6217,Merseburg/Saale,51.3548323,11.9791972
310,6.3,-18,10,94526,"Metten, Niederbay",48.856241600000004,12.9130877
311,8.1,-12,5,40822,Mettmann,51.25439069999999,6.9831962
312,8.1,-12,5,32423,"Minden, Westf.",52.293795200000005,8.955381800000001
313,6.8,-18,15,87466,Mittelberg b. Oy,47.644336200000005,10.4545655
314,6.8,-16,15,82481,Mittenwald,47.441269,11.264054
315,7.9,-14,9,9648,Mittweida,50.970958,12.976111900000001
316,8.1,-10,5,41061,Mönchengladbach,51.194189200000004,6.4295171999999985
317,8.1,-10,5,47441,Moers,51.44628170000001,6.6275504000000005
318,8.1,-10,5,40789,"Monheim, Rheinl.",51.09661079999999,6.8974365
319,6.0,-14,8,99974,Mühlhausen,51.237435600000005,10.451118600000001
320,8.1,-10,5,45478,"Mühlheim, Ruhr",51.4369709,6.8352369999999985
321,7.9,-16,13,80331,München,48.1362105,11.572892999999999
322,6.8,-16,14,72525,"Münsingen, Württ.",48.42284009999999,9.552076
323,8.1,-12,5,48143,"Münster, Westf.",51.9630088,7.626755199999999
324,6.3,-14,10,61231,"Nauheim, Bad",50.3822571,8.7387728
325,8.8,-14,7,34311,Naumburg,51.2289869,9.1744783
326,6.8,-12,6,59755,Neheim-Hüsten,51.452228600000005,7.972033000000001
327,9.5,-14,4,17033,Neubrandenburg,53.5329275,13.2623187
328,10.2,-12,12,63263,Neu-Isenburg,50.0521661,8.695244599999999
329,8.1,-10,5,47506,Neukirchen?Vluyn,51.447927899999996,6.5514802
330,9.0,-10,1,21710,"Neuland, Kr. Stade (NeulandWaterneversdorf)",53.662900300000004,9.3110144
331,8.5,-12,3,24534,Neumünster,54.07396800000001,9.9845763
332,6.8,-12,6,66538,"Neunkirchen, Saar",49.340914399999996,7.1787253999999985
333,9.5,-14,4,16816,Neuruppin,52.907837,12.7724911
334,8.1,-10,5,41460,Neuss,51.2075211,6.7063134999999985
335,10.2,-10,12,67433,"Neustadt, Weinstraße",49.358965000000005,8.1361817
336,9.5,-14,4,17235,Neustrelitz,53.34329399999999,13.0902611
337,7.9,-14,13,89231,Neu-Ulm,48.3735527,10.010220599999998
338,8.1,-12,5,56564,Neuwied,50.43415150000001,7.476853
339,8.5,-12,3,31582,"Nienburg, Weser",52.638091700000004,9.208414300000001
340,9.0,-10,1,26954,Nordenham,53.49275179999999,8.447880900000001
341,9.0,-10,1,26548,Norderney,53.71682699999999,7.281028199999999
342,7.9,-14,9,99734,Nordhausen,51.4990777,10.8371712
343,8.1,-10,5,48527,Nordhorn,52.43764669999999,7.0487199999999985
344,7.9,-16,13,86270,Nördlingen,48.8508157,10.4894906
345,6.8,-14,6,53520,Nürburg,50.422681,6.9075609999999985
346,7.9,-16,13,90402,Nürnberg,49.449102,11.087354300000001
347,6.8,-14,6,72622,Nürtingen,48.6134025,9.3213278
348,6.8,-18,15,83080,Oberaudorf,47.6661323,12.126237800000002
349,8.1,-10,5,46045,"Oberhausen, Rheinland",51.4674055,6.856095699999999
350,10.2,-12,12,79235,Oberrotweil,48.09516250000001,7.6391613
351,6.8,-20,15,87561,Oberstdorf,47.359939000000004,10.2947451
352,6.3,-12,10,61440,"Oberursel, Taunus",50.20919979999999,8.5520555
353,6.3,-16,10,92526,Oberviechtach,49.4591984,12.453970199999999
354,3.0,-18,11,9484,Oberwiesenthal,50.440517,12.9526705
355,7.9,-14,13,74613,Öhringen,49.20671549999999,9.520057200000002
356,8.1,-10,5,45739,Oer-Erkenschwick,51.637739,7.2579563999999985
357,10.2,-12,12,63065,"Offenbach, Main",50.10507459999999,8.7673831
358,10.2,-12,12,77652,Offenburg,48.5005097,7.9419146
359,8.5,-10,3,26121,"Oldenburg, Oldb.",53.153707,8.2095954
360,9.5,-14,4,16515,Oranienburg,52.7439161,13.361489800000001
361,9.5,-14,4,4758,Oschatz,51.3491511,13.111139499999998
362,8.1,-12,5,49074,Osnabrück,52.275879100000004,8.056059099999999
363,8.1,-12,5,33098,Paderborn,51.7113515,8.754257699999998
364,8.1,-14,4,19370,Parchim,53.42795699999999,11.877622099999998
365,7.9,-16,13,92331,"Parsberg, Oberfr.",49.1550979,11.730314300000002
366,7.9,-14,13,94032,Passau,48.5718453,13.4607296
367,8.7,-14,3,31224,Peine,52.3307295,10.2732008
368,6.8,-12,6,75172,Pforzheim,48.8901346,8.6821922
